Barcode	Count	Location
ACC1pft	13006	fQsequences/13-0190-S_S25/ACC1pft.fastq
ADP1pft	24896	fQsequences/13-0190-S_S25/ADP1pft.fastq
MPIpft	24211	fQsequences/13-0190-S_S25/MPIpft.fastq
SYA1pft	24755	fQsequences/13-0190-S_S25/SYA1pft.fastq
VPS13pft	17163	fQsequences/13-0190-S_S25/VPS13pft.fastq
ZWF1bpft	21317	fQsequences/13-0190-S_S25/ZWF1bpft.fastq
unmatched	2663	fQsequences/13-0190-S_S25/unmatched.fastq
total	150372
Barcode	Count	Location
AAT1aprt	22220	fQsequences/13-0190-S_S25/AAT1aprt.fastq
ACC1prt	12847	fQsequences/13-0190-S_S25/ACC1prt.fastq
ADP1prt	24833	fQsequences/13-0190-S_S25/ADP1prt.fastq
MPIprt	24222	fQsequences/13-0190-S_S25/MPIprt.fastq
SYA1prt	24573	fQsequences/13-0190-S_S25/SYA1prt.fastq
VPS13prt	17222	fQsequences/13-0190-S_S25/VPS13prt.fastq
ZWF1bprt	21172	fQsequences/13-0190-S_S25/ZWF1bprt.fastq
unmatched	3283	fQsequences/13-0190-S_S25/unmatched.fastq
total	150372
Barcode	Count	Location
AAT1apft	18823	fQsequences/14-MB2484_S12/AAT1apft.fastq
ACC1pft	10458	fQsequences/14-MB2484_S12/ACC1pft.fastq
ADP1pft	17934	fQsequences/14-MB2484_S12/ADP1pft.fastq
MPIpft	18135	fQsequences/14-MB2484_S12/MPIpft.fastq
SYA1pft	16676	fQsequences/14-MB2484_S12/SYA1pft.fastq
VPS13pft	13093	fQsequences/14-MB2484_S12/VPS13pft.fastq
ZWF1bpft	14547	fQsequences/14-MB2484_S12/ZWF1bpft.fastq
unmatched	1951	fQsequences/14-MB2484_S12/unmatched.fastq
total	111617
Barcode	Count	Location
AAT1aprt	18646	fQsequences/14-MB2484_S12/AAT1aprt.fastq
ACC1prt	10273	fQsequences/14-MB2484_S12/ACC1prt.fastq
ADP1prt	17882	fQsequences/14-MB2484_S12/ADP1prt.fastq
MPIprt	18139	fQsequences/14-MB2484_S12/MPIprt.fastq
SYA1prt	16541	fQsequences/14-MB2484_S12/SYA1prt.fastq
VPS13prt	13096	fQsequences/14-MB2484_S12/VPS13prt.fastq
ZWF1bprt	14472	fQsequences/14-MB2484_S12/ZWF1bprt.fastq
unmatched	2568	fQsequences/14-MB2484_S12/unmatched.fastq
total	111617
Barcode	Count	Location
AAT1apft	2469	fQsequences/14-MB2484-S_S32/AAT1apft.fastq
ACC1pft	1462	fQsequences/14-MB2484-S_S32/ACC1pft.fastq
ADP1pft	2540	fQsequences/14-MB2484-S_S32/ADP1pft.fastq
MPIpft	2355	fQsequences/14-MB2484-S_S32/MPIpft.fastq
SYA1pft	2544	fQsequences/14-MB2484-S_S32/SYA1pft.fastq
VPS13pft	1746	fQsequences/14-MB2484-S_S32/VPS13pft.fastq
ZWF1bpft	2087	fQsequences/14-MB2484-S_S32/ZWF1bpft.fastq
unmatched	277	fQsequences/14-MB2484-S_S32/unmatched.fastq
total	15480
Barcode	Count	Location
AAT1aprt	2454	fQsequences/14-MB2484-S_S32/AAT1aprt.fastq
ACC1prt	1436	fQsequences/14-MB2484-S_S32/ACC1prt.fastq
ADP1prt	2516	fQsequences/14-MB2484-S_S32/ADP1prt.fastq
MPIprt	2353	fQsequences/14-MB2484-S_S32/MPIprt.fastq
SYA1prt	2518	fQsequences/14-MB2484-S_S32/SYA1prt.fastq
VPS13prt	1757	fQsequences/14-MB2484-S_S32/VPS13prt.fastq
ZWF1bprt	2078	fQsequences/14-MB2484-S_S32/ZWF1bprt.fastq
unmatched	368	fQsequences/14-MB2484-S_S32/unmatched.fastq
total	15480
Barcode	Count	Location
AAT1apft	2	fQsequences/BS1_S57/AAT1apft.fastq
ACC1pft	2	fQsequences/BS1_S57/ACC1pft.fastq
ADP1pft	1	fQsequences/BS1_S57/ADP1pft.fastq
MPIpft	4	fQsequences/BS1_S57/MPIpft.fastq
SYA1pft	3	fQsequences/BS1_S57/SYA1pft.fastq
VPS13pft	2	fQsequences/BS1_S57/VPS13pft.fastq
ZWF1bpft	6	fQsequences/BS1_S57/ZWF1bpft.fastq
unmatched	174753	fQsequences/BS1_S57/unmatched.fastq
total	174773
Barcode	Count	Location
AAT1aprt	7	fQsequences/BS1_S57/AAT1aprt.fastq
ACC1prt	3	fQsequences/BS1_S57/ACC1prt.fastq
ADP1prt	3	fQsequences/BS1_S57/ADP1prt.fastq
MPIprt	3	fQsequences/BS1_S57/MPIprt.fastq
SYA1prt	10	fQsequences/BS1_S57/SYA1prt.fastq
VPS13prt	3	fQsequences/BS1_S57/VPS13prt.fastq
ZWF1bprt	7	fQsequences/BS1_S57/ZWF1bprt.fastq
unmatched	174737	fQsequences/BS1_S57/unmatched.fastq
total	174773
Barcode	Count	Location
AAT1apft	5	fQsequences/BS2_S58/AAT1apft.fastq
ACC1pft	1	fQsequences/BS2_S58/ACC1pft.fastq
ADP1pft	3	fQsequences/BS2_S58/ADP1pft.fastq
MPIpft	3	fQsequences/BS2_S58/MPIpft.fastq
SYA1pft	4	fQsequences/BS2_S58/SYA1pft.fastq
VPS13pft	1	fQsequences/BS2_S58/VPS13pft.fastq
ZWF1bpft	2	fQsequences/BS2_S58/ZWF1bpft.fastq
unmatched	206944	fQsequences/BS2_S58/unmatched.fastq
total	206963
Barcode	Count	Location
AAT1aprt	8	fQsequences/BS2_S58/AAT1aprt.fastq
ACC1prt	4	fQsequences/BS2_S58/ACC1prt.fastq
ADP1prt	3	fQsequences/BS2_S58/ADP1prt.fastq
MPIprt	4	fQsequences/BS2_S58/MPIprt.fastq
SYA1prt	13	fQsequences/BS2_S58/SYA1prt.fastq
VPS13prt	2	fQsequences/BS2_S58/VPS13prt.fastq
ZWF1bprt	3	fQsequences/BS2_S58/ZWF1bprt.fastq
unmatched	206926	fQsequences/BS2_S58/unmatched.fastq
total	206963
Barcode	Count	Location
AAT1apft	15570	fQsequences/FJ12-S_S17/AAT1apft.fastq
ACC1pft	9989	fQsequences/FJ12-S_S17/ACC1pft.fastq
ADP1pft	17189	fQsequences/FJ12-S_S17/ADP1pft.fastq
MPIpft	16301	fQsequences/FJ12-S_S17/MPIpft.fastq
SYA1pft	15113	fQsequences/FJ12-S_S17/SYA1pft.fastq
VPS13pft	12365	fQsequences/FJ12-S_S17/VPS13pft.fastq
ZWF1bpft	14943	fQsequences/FJ12-S_S17/ZWF1bpft.fastq
unmatched	1841	fQsequences/FJ12-S_S17/unmatched.fastq
total	103311
Barcode	Count	Location
AAT1aprt	15453	fQsequences/FJ12-S_S17/AAT1aprt.fastq
ACC1prt	9856	fQsequences/FJ12-S_S17/ACC1prt.fastq
ADP1prt	17058	fQsequences/FJ12-S_S17/ADP1prt.fastq
MPIprt	16311	fQsequences/FJ12-S_S17/MPIprt.fastq
SYA1prt	15069	fQsequences/FJ12-S_S17/SYA1prt.fastq
VPS13prt	12396	fQsequences/FJ12-S_S17/VPS13prt.fastq
ZWF1bprt	14892	fQsequences/FJ12-S_S17/ZWF1bprt.fastq
unmatched	2276	fQsequences/FJ12-S_S17/unmatched.fastq
total	103311
Barcode	Count	Location
AAT1apft	19264	fQsequences/FJ9-S_S16/AAT1apft.fastq
ACC1pft	11637	fQsequences/FJ9-S_S16/ACC1pft.fastq
ADP1pft	19767	fQsequences/FJ9-S_S16/ADP1pft.fastq
MPIpft	21875	fQsequences/FJ9-S_S16/MPIpft.fastq
SYA1pft	19841	fQsequences/FJ9-S_S16/SYA1pft.fastq
VPS13pft	14626	fQsequences/FJ9-S_S16/VPS13pft.fastq
ZWF1bpft	19149	fQsequences/FJ9-S_S16/ZWF1bpft.fastq
unmatched	2290	fQsequences/FJ9-S_S16/unmatched.fastq
total	128449
Barcode	Count	Location
AAT1aprt	19158	fQsequences/FJ9-S_S16/AAT1aprt.fastq
ACC1prt	11494	fQsequences/FJ9-S_S16/ACC1prt.fastq
ADP1prt	19667	fQsequences/FJ9-S_S16/ADP1prt.fastq
MPIprt	21842	fQsequences/FJ9-S_S16/MPIprt.fastq
SYA1prt	19680	fQsequences/FJ9-S_S16/SYA1prt.fastq
VPS13prt	14633	fQsequences/FJ9-S_S16/VPS13prt.fastq
ZWF1bprt	19038	fQsequences/FJ9-S_S16/ZWF1bprt.fastq
unmatched	2937	fQsequences/FJ9-S_S16/unmatched.fastq
total	128449
Barcode	Count	Location
AAT1apft	18479	fQsequences/gaymc-c-S_S15/AAT1apft.fastq
ACC1pft	10761	fQsequences/gaymc-c-S_S15/ACC1pft.fastq
ADP1pft	28739	fQsequences/gaymc-c-S_S15/ADP1pft.fastq
MPIpft	16955	fQsequences/gaymc-c-S_S15/MPIpft.fastq
SYA1pft	15341	fQsequences/gaymc-c-S_S15/SYA1pft.fastq
VPS13pft	11892	fQsequences/gaymc-c-S_S15/VPS13pft.fastq
ZWF1bpft	14431	fQsequences/gaymc-c-S_S15/ZWF1bpft.fastq
unmatched	2073	fQsequences/gaymc-c-S_S15/unmatched.fastq
total	118671
Barcode	Count	Location
AAT1aprt	18352	fQsequences/gaymc-c-S_S15/AAT1aprt.fastq
ACC1prt	10621	fQsequences/gaymc-c-S_S15/ACC1prt.fastq
ADP1prt	28592	fQsequences/gaymc-c-S_S15/ADP1prt.fastq
MPIprt	16932	fQsequences/gaymc-c-S_S15/MPIprt.fastq
SYA1prt	15245	fQsequences/gaymc-c-S_S15/SYA1prt.fastq
VPS13prt	11903	fQsequences/gaymc-c-S_S15/VPS13prt.fastq
ZWF1bprt	14392	fQsequences/gaymc-c-S_S15/ZWF1bprt.fastq
unmatched	2634	fQsequences/gaymc-c-S_S15/unmatched.fastq
total	118671
Barcode	Count	Location
AAT1apft	21088	fQsequences/hp11vw-S_S20/AAT1apft.fastq
ACC1pft	12221	fQsequences/hp11vw-S_S20/ACC1pft.fastq
ADP1pft	21579	fQsequences/hp11vw-S_S20/ADP1pft.fastq
MPIpft	16896	fQsequences/hp11vw-S_S20/MPIpft.fastq
SYA1pft	16654	fQsequences/hp11vw-S_S20/SYA1pft.fastq
VPS13pft	15059	fQsequences/hp11vw-S_S20/VPS13pft.fastq
ZWF1bpft	15408	fQsequences/hp11vw-S_S20/ZWF1bpft.fastq
unmatched	1995	fQsequences/hp11vw-S_S20/unmatched.fastq
total	120900
Barcode	Count	Location
AAT1aprt	20925	fQsequences/hp11vw-S_S20/AAT1aprt.fastq
ACC1prt	12086	fQsequences/hp11vw-S_S20/ACC1prt.fastq
ADP1prt	21408	fQsequences/hp11vw-S_S20/ADP1prt.fastq
MPIprt	16887	fQsequences/hp11vw-S_S20/MPIprt.fastq
SYA1prt	16572	fQsequences/hp11vw-S_S20/SYA1prt.fastq
VPS13prt	15043	fQsequences/hp11vw-S_S20/VPS13prt.fastq
ZWF1bprt	15316	fQsequences/hp11vw-S_S20/ZWF1bprt.fastq
unmatched	2663	fQsequences/hp11vw-S_S20/unmatched.fastq
total	120900
Barcode	Count	Location
AAT1apft	15579	fQsequences/HUN91-S_S18/AAT1apft.fastq
ACC1pft	9636	fQsequences/HUN91-S_S18/ACC1pft.fastq
ADP1pft	16843	fQsequences/HUN91-S_S18/ADP1pft.fastq
MPIpft	15256	fQsequences/HUN91-S_S18/MPIpft.fastq
SYA1pft	13852	fQsequences/HUN91-S_S18/SYA1pft.fastq
VPS13pft	11030	fQsequences/HUN91-S_S18/VPS13pft.fastq
ZWF1bpft	13235	fQsequences/HUN91-S_S18/ZWF1bpft.fastq
unmatched	1637	fQsequences/HUN91-S_S18/unmatched.fastq
total	97068
Barcode	Count	Location
AAT1aprt	15528	fQsequences/HUN91-S_S18/AAT1aprt.fastq
ACC1prt	9494	fQsequences/HUN91-S_S18/ACC1prt.fastq
ADP1prt	16735	fQsequences/HUN91-S_S18/ADP1prt.fastq
MPIprt	15217	fQsequences/HUN91-S_S18/MPIprt.fastq
SYA1prt	13762	fQsequences/HUN91-S_S18/SYA1prt.fastq
VPS13prt	11056	fQsequences/HUN91-S_S18/VPS13prt.fastq
ZWF1bprt	13163	fQsequences/HUN91-S_S18/ZWF1bprt.fastq
unmatched	2113	fQsequences/HUN91-S_S18/unmatched.fastq
total	97068
Barcode	Count	Location
AAT1apft	10181	fQsequences/M05-OR_S11/AAT1apft.fastq
ACC1pft	7844	fQsequences/M05-OR_S11/ACC1pft.fastq
ADP1pft	16029	fQsequences/M05-OR_S11/ADP1pft.fastq
MPIpft	17126	fQsequences/M05-OR_S11/MPIpft.fastq
SYA1pft	16255	fQsequences/M05-OR_S11/SYA1pft.fastq
VPS13pft	11170	fQsequences/M05-OR_S11/VPS13pft.fastq
ZWF1bpft	12525	fQsequences/M05-OR_S11/ZWF1bpft.fastq
unmatched	1598	fQsequences/M05-OR_S11/unmatched.fastq
total	92728
Barcode	Count	Location
AAT1aprt	10085	fQsequences/M05-OR_S11/AAT1aprt.fastq
ACC1prt	7774	fQsequences/M05-OR_S11/ACC1prt.fastq
ADP1prt	15910	fQsequences/M05-OR_S11/ADP1prt.fastq
MPIprt	17141	fQsequences/M05-OR_S11/MPIprt.fastq
SYA1prt	16190	fQsequences/M05-OR_S11/SYA1prt.fastq
VPS13prt	11192	fQsequences/M05-OR_S11/VPS13prt.fastq
ZWF1bprt	12453	fQsequences/M05-OR_S11/ZWF1bprt.fastq
unmatched	1983	fQsequences/M05-OR_S11/unmatched.fastq
total	92728
Barcode	Count	Location
AAT1apft	3047	fQsequences/M05-OR-S_S31/AAT1apft.fastq
ACC1pft	1757	fQsequences/M05-OR-S_S31/ACC1pft.fastq
ADP1pft	3310	fQsequences/M05-OR-S_S31/ADP1pft.fastq
MPIpft	2991	fQsequences/M05-OR-S_S31/MPIpft.fastq
SYA1pft	2898	fQsequences/M05-OR-S_S31/SYA1pft.fastq
VPS13pft	2012	fQsequences/M05-OR-S_S31/VPS13pft.fastq
ZWF1bpft	2632	fQsequences/M05-OR-S_S31/ZWF1bpft.fastq
unmatched	345	fQsequences/M05-OR-S_S31/unmatched.fastq
total	18992
Barcode	Count	Location
AAT1aprt	3033	fQsequences/M05-OR-S_S31/AAT1aprt.fastq
ACC1prt	1731	fQsequences/M05-OR-S_S31/ACC1prt.fastq
ADP1prt	3291	fQsequences/M05-OR-S_S31/ADP1prt.fastq
MPIprt	3005	fQsequences/M05-OR-S_S31/MPIprt.fastq
SYA1prt	2878	fQsequences/M05-OR-S_S31/SYA1prt.fastq
VPS13prt	2001	fQsequences/M05-OR-S_S31/VPS13prt.fastq
ZWF1bprt	2611	fQsequences/M05-OR-S_S31/ZWF1bprt.fastq
unmatched	442	fQsequences/M05-OR-S_S31/unmatched.fastq
total	18992
Barcode	Count	Location
AAT1apft	17806	fQsequences/N1B_S43/AAT1apft.fastq
ACC1pft	10144	fQsequences/N1B_S43/ACC1pft.fastq
ADP1pft	19570	fQsequences/N1B_S43/ADP1pft.fastq
MPIpft	15590	fQsequences/N1B_S43/MPIpft.fastq
SYA1pft	15978	fQsequences/N1B_S43/SYA1pft.fastq
VPS13pft	12909	fQsequences/N1B_S43/VPS13pft.fastq
ZWF1bpft	15103	fQsequences/N1B_S43/ZWF1bpft.fastq
unmatched	165911	fQsequences/N1B_S43/unmatched.fastq
total	273011
Barcode	Count	Location
AAT1aprt	17604	fQsequences/N1B_S43/AAT1aprt.fastq
ACC1prt	9968	fQsequences/N1B_S43/ACC1prt.fastq
ADP1prt	19470	fQsequences/N1B_S43/ADP1prt.fastq
MPIprt	15564	fQsequences/N1B_S43/MPIprt.fastq
SYA1prt	15867	fQsequences/N1B_S43/SYA1prt.fastq
VPS13prt	12921	fQsequences/N1B_S43/VPS13prt.fastq
ZWF1bprt	15047	fQsequences/N1B_S43/ZWF1bprt.fastq
unmatched	166570	fQsequences/N1B_S43/unmatched.fastq
total	273011
Barcode	Count	Location
AAT1apft	15639	fQsequences/N1R_S44/AAT1apft.fastq
ACC1pft	8714	fQsequences/N1R_S44/ACC1pft.fastq
ADP1pft	15712	fQsequences/N1R_S44/ADP1pft.fastq
MPIpft	13331	fQsequences/N1R_S44/MPIpft.fastq
SYA1pft	13998	fQsequences/N1R_S44/SYA1pft.fastq
VPS13pft	11351	fQsequences/N1R_S44/VPS13pft.fastq
ZWF1bpft	12253	fQsequences/N1R_S44/ZWF1bpft.fastq
unmatched	1811	fQsequences/N1R_S44/unmatched.fastq
total	92809
Barcode	Count	Location
AAT1aprt	15536	fQsequences/N1R_S44/AAT1aprt.fastq
ACC1prt	8611	fQsequences/N1R_S44/ACC1prt.fastq
ADP1prt	15580	fQsequences/N1R_S44/ADP1prt.fastq
MPIprt	13308	fQsequences/N1R_S44/MPIprt.fastq
SYA1prt	13936	fQsequences/N1R_S44/SYA1prt.fastq
VPS13prt	11356	fQsequences/N1R_S44/VPS13prt.fastq
ZWF1bprt	12185	fQsequences/N1R_S44/ZWF1bprt.fastq
unmatched	2297	fQsequences/N1R_S44/unmatched.fastq
total	92809
Barcode	Count	Location
AAT1apft	17233	fQsequences/N2B_S47/AAT1apft.fastq
ACC1pft	10502	fQsequences/N2B_S47/ACC1pft.fastq
ADP1pft	18350	fQsequences/N2B_S47/ADP1pft.fastq
MPIpft	19851	fQsequences/N2B_S47/MPIpft.fastq
SYA1pft	18081	fQsequences/N2B_S47/SYA1pft.fastq
VPS13pft	13171	fQsequences/N2B_S47/VPS13pft.fastq
ZWF1bpft	17558	fQsequences/N2B_S47/ZWF1bpft.fastq
unmatched	193223	fQsequences/N2B_S47/unmatched.fastq
total	307969
Barcode	Count	Location
AAT1aprt	17136	fQsequences/N2B_S47/AAT1aprt.fastq
ACC1prt	10359	fQsequences/N2B_S47/ACC1prt.fastq
ADP1prt	18247	fQsequences/N2B_S47/ADP1prt.fastq
MPIprt	19839	fQsequences/N2B_S47/MPIprt.fastq
SYA1prt	17943	fQsequences/N2B_S47/SYA1prt.fastq
VPS13prt	13216	fQsequences/N2B_S47/VPS13prt.fastq
ZWF1bprt	17417	fQsequences/N2B_S47/ZWF1bprt.fastq
unmatched	193812	fQsequences/N2B_S47/unmatched.fastq
total	307969
Barcode	Count	Location
AAT1apft	18562	fQsequences/N2R_S48/AAT1apft.fastq
ACC1pft	11097	fQsequences/N2R_S48/ACC1pft.fastq
ADP1pft	19126	fQsequences/N2R_S48/ADP1pft.fastq
MPIpft	17926	fQsequences/N2R_S48/MPIpft.fastq
SYA1pft	16998	fQsequences/N2R_S48/SYA1pft.fastq
VPS13pft	13484	fQsequences/N2R_S48/VPS13pft.fastq
ZWF1bpft	16417	fQsequences/N2R_S48/ZWF1bpft.fastq
unmatched	2532	fQsequences/N2R_S48/unmatched.fastq
total	116142
Barcode	Count	Location
AAT1aprt	18505	fQsequences/N2R_S48/AAT1aprt.fastq
ACC1prt	10965	fQsequences/N2R_S48/ACC1prt.fastq
ADP1prt	19045	fQsequences/N2R_S48/ADP1prt.fastq
MPIprt	17868	fQsequences/N2R_S48/MPIprt.fastq
SYA1prt	16862	fQsequences/N2R_S48/SYA1prt.fastq
VPS13prt	13555	fQsequences/N2R_S48/VPS13prt.fastq
ZWF1bprt	16284	fQsequences/N2R_S48/ZWF1bprt.fastq
unmatched	3058	fQsequences/N2R_S48/unmatched.fastq
total	116142
Barcode	Count	Location
AAT1apft	1	fQsequences/N3B_S51/AAT1apft.fastq
ACC1pft	2	fQsequences/N3B_S51/ACC1pft.fastq
ADP1pft	5	fQsequences/N3B_S51/ADP1pft.fastq
MPIpft	4	fQsequences/N3B_S51/MPIpft.fastq
SYA1pft	0	fQsequences/N3B_S51/SYA1pft.fastq
VPS13pft	1	fQsequences/N3B_S51/VPS13pft.fastq
ZWF1bpft	4	fQsequences/N3B_S51/ZWF1bpft.fastq
unmatched	27921	fQsequences/N3B_S51/unmatched.fastq
total	27938
Barcode	Count	Location
AAT1aprt	3	fQsequences/N3B_S51/AAT1aprt.fastq
ACC1prt	3	fQsequences/N3B_S51/ACC1prt.fastq
ADP1prt	7	fQsequences/N3B_S51/ADP1prt.fastq
MPIprt	4	fQsequences/N3B_S51/MPIprt.fastq
SYA1prt	0	fQsequences/N3B_S51/SYA1prt.fastq
VPS13prt	0	fQsequences/N3B_S51/VPS13prt.fastq
ZWF1bprt	3	fQsequences/N3B_S51/ZWF1bprt.fastq
unmatched	27918	fQsequences/N3B_S51/unmatched.fastq
total	27938
Barcode	Count	Location
AAT1apft	9	fQsequences/N3R_S52/AAT1apft.fastq
ACC1pft	2	fQsequences/N3R_S52/ACC1pft.fastq
ADP1pft	3	fQsequences/N3R_S52/ADP1pft.fastq
MPIpft	6	fQsequences/N3R_S52/MPIpft.fastq
SYA1pft	13	fQsequences/N3R_S52/SYA1pft.fastq
VPS13pft	4	fQsequences/N3R_S52/VPS13pft.fastq
ZWF1bpft	13	fQsequences/N3R_S52/ZWF1bpft.fastq
unmatched	165020	fQsequences/N3R_S52/unmatched.fastq
total	165070
Barcode	Count	Location
AAT1aprt	13	fQsequences/N3R_S52/AAT1aprt.fastq
ACC1prt	3	fQsequences/N3R_S52/ACC1prt.fastq
ADP1prt	7	fQsequences/N3R_S52/ADP1prt.fastq
MPIprt	7	fQsequences/N3R_S52/MPIprt.fastq
SYA1prt	16	fQsequences/N3R_S52/SYA1prt.fastq
VPS13prt	5	fQsequences/N3R_S52/VPS13prt.fastq
ZWF1bprt	15	fQsequences/N3R_S52/ZWF1bprt.fastq
unmatched	165004	fQsequences/N3R_S52/unmatched.fastq
total	165070
Barcode	Count	Location
AAT1apft	1	fQsequences/N4B_S55/AAT1apft.fastq
ACC1pft	4	fQsequences/N4B_S55/ACC1pft.fastq
ADP1pft	4	fQsequences/N4B_S55/ADP1pft.fastq
MPIpft	6	fQsequences/N4B_S55/MPIpft.fastq
SYA1pft	2	fQsequences/N4B_S55/SYA1pft.fastq
VPS13pft	3	fQsequences/N4B_S55/VPS13pft.fastq
ZWF1bpft	5	fQsequences/N4B_S55/ZWF1bpft.fastq
unmatched	158798	fQsequences/N4B_S55/unmatched.fastq
total	158823
Barcode	Count	Location
AAT1aprt	2	fQsequences/N4B_S55/AAT1aprt.fastq
ACC1prt	7	fQsequences/N4B_S55/ACC1prt.fastq
ADP1prt	6	fQsequences/N4B_S55/ADP1prt.fastq
MPIprt	8	fQsequences/N4B_S55/MPIprt.fastq
SYA1prt	6	fQsequences/N4B_S55/SYA1prt.fastq
VPS13prt	5	fQsequences/N4B_S55/VPS13prt.fastq
ZWF1bprt	6	fQsequences/N4B_S55/ZWF1bprt.fastq
unmatched	158783	fQsequences/N4B_S55/unmatched.fastq
total	158823
Barcode	Count	Location
AAT1apft	4	fQsequences/N4R_S56/AAT1apft.fastq
ACC1pft	4	fQsequences/N4R_S56/ACC1pft.fastq
ADP1pft	7	fQsequences/N4R_S56/ADP1pft.fastq
MPIpft	5	fQsequences/N4R_S56/MPIpft.fastq
SYA1pft	4	fQsequences/N4R_S56/SYA1pft.fastq
VPS13pft	2	fQsequences/N4R_S56/VPS13pft.fastq
ZWF1bpft	6	fQsequences/N4R_S56/ZWF1bpft.fastq
unmatched	128515	fQsequences/N4R_S56/unmatched.fastq
total	128547
Barcode	Count	Location
AAT1aprt	5	fQsequences/N4R_S56/AAT1aprt.fastq
ACC1prt	7	fQsequences/N4R_S56/ACC1prt.fastq
ADP1prt	7	fQsequences/N4R_S56/ADP1prt.fastq
MPIprt	6	fQsequences/N4R_S56/MPIprt.fastq
SYA1prt	8	fQsequences/N4R_S56/SYA1prt.fastq
VPS13prt	2	fQsequences/N4R_S56/VPS13prt.fastq
ZWF1bprt	6	fQsequences/N4R_S56/ZWF1bprt.fastq
unmatched	128506	fQsequences/N4R_S56/unmatched.fastq
total	128547
Barcode	Count	Location
AAT1apft	3520	fQsequences/P1-50-50_S35/AAT1apft.fastq
ACC1pft	2332	fQsequences/P1-50-50_S35/ACC1pft.fastq
ADP1pft	3690	fQsequences/P1-50-50_S35/ADP1pft.fastq
MPIpft	3913	fQsequences/P1-50-50_S35/MPIpft.fastq
SYA1pft	3811	fQsequences/P1-50-50_S35/SYA1pft.fastq
VPS13pft	2500	fQsequences/P1-50-50_S35/VPS13pft.fastq
ZWF1bpft	3420	fQsequences/P1-50-50_S35/ZWF1bpft.fastq
unmatched	435	fQsequences/P1-50-50_S35/unmatched.fastq
total	23621
Barcode	Count	Location
AAT1aprt	3479	fQsequences/P1-50-50_S35/AAT1aprt.fastq
ACC1prt	2307	fQsequences/P1-50-50_S35/ACC1prt.fastq
ADP1prt	3664	fQsequences/P1-50-50_S35/ADP1prt.fastq
MPIprt	3918	fQsequences/P1-50-50_S35/MPIprt.fastq
SYA1prt	3793	fQsequences/P1-50-50_S35/SYA1prt.fastq
VPS13prt	2517	fQsequences/P1-50-50_S35/VPS13prt.fastq
ZWF1bprt	3394	fQsequences/P1-50-50_S35/ZWF1bprt.fastq
unmatched	549	fQsequences/P1-50-50_S35/unmatched.fastq
total	23621
Barcode	Count	Location
AAT1apft	3632	fQsequences/P1-80-20_S36/AAT1apft.fastq
ACC1pft	2316	fQsequences/P1-80-20_S36/ACC1pft.fastq
ADP1pft	3665	fQsequences/P1-80-20_S36/ADP1pft.fastq
MPIpft	3391	fQsequences/P1-80-20_S36/MPIpft.fastq
SYA1pft	3420	fQsequences/P1-80-20_S36/SYA1pft.fastq
VPS13pft	2522	fQsequences/P1-80-20_S36/VPS13pft.fastq
ZWF1bpft	3137	fQsequences/P1-80-20_S36/ZWF1bpft.fastq
unmatched	386	fQsequences/P1-80-20_S36/unmatched.fastq
total	22469
Barcode	Count	Location
AAT1aprt	3606	fQsequences/P1-80-20_S36/AAT1aprt.fastq
ACC1prt	2279	fQsequences/P1-80-20_S36/ACC1prt.fastq
ADP1prt	3651	fQsequences/P1-80-20_S36/ADP1prt.fastq
MPIprt	3384	fQsequences/P1-80-20_S36/MPIprt.fastq
SYA1prt	3403	fQsequences/P1-80-20_S36/SYA1prt.fastq
VPS13prt	2516	fQsequences/P1-80-20_S36/VPS13prt.fastq
ZWF1bprt	3125	fQsequences/P1-80-20_S36/ZWF1bprt.fastq
unmatched	505	fQsequences/P1-80-20_S36/unmatched.fastq
total	22469
Barcode	Count	Location
AAT1apft	19590	fQsequences/P1-90-10_S37/AAT1apft.fastq
ACC1pft	11374	fQsequences/P1-90-10_S37/ACC1pft.fastq
ADP1pft	20305	fQsequences/P1-90-10_S37/ADP1pft.fastq
MPIpft	20319	fQsequences/P1-90-10_S37/MPIpft.fastq
SYA1pft	19452	fQsequences/P1-90-10_S37/SYA1pft.fastq
VPS13pft	13945	fQsequences/P1-90-10_S37/VPS13pft.fastq
ZWF1bpft	18527	fQsequences/P1-90-10_S37/ZWF1bpft.fastq
unmatched	2436	fQsequences/P1-90-10_S37/unmatched.fastq
total	125948
Barcode	Count	Location
AAT1aprt	19445	fQsequences/P1-90-10_S37/AAT1aprt.fastq
ACC1prt	11228	fQsequences/P1-90-10_S37/ACC1prt.fastq
ADP1prt	20232	fQsequences/P1-90-10_S37/ADP1prt.fastq
MPIprt	20262	fQsequences/P1-90-10_S37/MPIprt.fastq
SYA1prt	19246	fQsequences/P1-90-10_S37/SYA1prt.fastq
VPS13prt	13994	fQsequences/P1-90-10_S37/VPS13prt.fastq
ZWF1bprt	18357	fQsequences/P1-90-10_S37/ZWF1bprt.fastq
unmatched	3184	fQsequences/P1-90-10_S37/unmatched.fastq
total	125948
Barcode	Count	Location
AAT1apft	29	fQsequences/P1B_S41/AAT1apft.fastq
ACC1pft	13	fQsequences/P1B_S41/ACC1pft.fastq
ADP1pft	30	fQsequences/P1B_S41/ADP1pft.fastq
MPIpft	32	fQsequences/P1B_S41/MPIpft.fastq
SYA1pft	25	fQsequences/P1B_S41/SYA1pft.fastq
VPS13pft	12	fQsequences/P1B_S41/VPS13pft.fastq
